 written on  3Aug2019 at 14:53:37 
           2
         891
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1
    1    2    2    1    1    1    1    1    1    1    1    1    2    2    1
    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1
    2    2    1    1    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1
    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    1    1    2    2    1    1    1
    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2
    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1
    1    1    1    1    1    2
    4   -4    4    1    2   -0.000000   -0.000000
    4   -4    4    2    2    0.000106   -0.000000
    4   -4    5    1    1    0.000047   -0.000000
    4   -4    5    2    1   -0.000000    0.000000
    4   -4    5    1    2    0.000000    0.000000
    4   -4    5    2    2   -0.000130    0.000000
    4   -3   -5    1    1    0.000056    0.000000
    4   -3   -5    2    1   -0.000021   -0.000000
    4   -3   -5    1    2   -0.000021   -0.000000
    4   -3   -5    2    2    0.000060    0.000000
    4   -3   -4    1    1    0.000051    0.000000
    4   -3   -4    2    1   -0.000007   -0.000000
    4   -3   -4    1    2   -0.000007   -0.000000
    4   -3   -4    2    2   -0.000065    0.000000
    4   -3   -3    1    1    0.000002   -0.000000
    4   -3   -3    2    1   -0.000025   -0.000000
    4   -3   -3    1    2   -0.000025   -0.000000
    4   -3   -3    2    2    0.000073   -0.000000
    4   -3   -2    1    1   -0.000058    0.000000
    4   -3   -2    2    1    0.000017    0.000000
    4   -3   -2    1    2    0.000017    0.000000
    4   -3   -2    2    2   -0.000026   -0.000000
    4   -3   -1    1    1   -0.000075    0.000000
    4   -3   -1    2    1    0.000033   -0.000000
    4   -3   -1    1    2    0.000033   -0.000000
    4   -3   -1    2    2   -0.000094   -0.000000
    4   -3    0    1    1   -0.000058    0.000000
    4   -3    0    2    1    0.000028   -0.000000
    4   -3    0    1    2    0.000028   -0.000000
    4   -3    0    2    2   -0.000065    0.000000
    4   -3    1    1    1   -0.000075   -0.000000
    4   -3    1    2    1    0.000033   -0.000000
    4   -3    1    1    2    0.000033   -0.000000
    4   -3    1    2    2   -0.000094   -0.000000
    4   -3    2    1    1   -0.000058   -0.000000
    4   -3    2    2    1    0.000017   -0.000000
    4   -3    2    1    2    0.000017   -0.000000
    4   -3    2    2    2   -0.000026   -0.000000
    4   -3    3    1    1    0.000002   -0.000000
    4   -3    3    2    1   -0.000025   -0.000000
    4   -3    3    1    2   -0.000025   -0.000000
    4   -3    3    2    2    0.000073   -0.000000
    4   -3    4    1    1    0.000051   -0.000000
    4   -3    4    2    1   -0.000007   -0.000000
    4   -3    4    1    2   -0.000007   -0.000000
    4   -3    4    2    2   -0.000065    0.000000
    4   -3    5    1    1    0.000056    0.000000
    4   -3    5    2    1   -0.000021   -0.000000
    4   -3    5    1    2   -0.000021   -0.000000
    4   -3    5    2    2    0.000060    0.000000
    4   -2   -5    1    1    0.000092   -0.000000
    4   -2   -5    2    1   -0.000066   -0.000000
    4   -2   -5    1    2   -0.000066   -0.000000
    4   -2   -5    2    2    0.000134   -0.000000
    4   -2   -4    1    1    0.000065    0.000000
    4   -2   -4    2    1   -0.000004    0.000000
    4   -2   -4    1    2   -0.000004    0.000000
    4   -2   -4    2    2   -0.000156   -0.000000
    4   -2   -3    1    1   -0.000003   -0.000000
    4   -2   -3    2    1   -0.000028    0.000000
    4   -2   -3    1    2   -0.000028    0.000000
    4   -2   -3    2    2    0.000107   -0.000000
    4   -2   -2    1    1   -0.000103    0.000000
    4   -2   -2    2    1    0.000064    0.000000
    4   -2   -2    1    2    0.000064    0.000000
    4   -2   -2    2    2   -0.000253   -0.000000
    4   -2   -1    1    1   -0.000153    0.000000
    4   -2   -1    2    1    0.000138   -0.000000
    4   -2   -1    1    2    0.000138   -0.000000
    4   -2   -1    2    2   -0.000216   -0.000000
    4   -2    0    1    1    0.000078   -0.000000
    4   -2    0    2    1   -0.000119   -0.000000
    4   -2    0    1    2   -0.000119   -0.000000
    4   -2    0    2    2    0.000669   -0.000000
    4   -2    1    1    1   -0.000153   -0.000000
    4   -2    1    2    1    0.000138    0.000000
    4   -2    1    1    2    0.000138    0.000000
    4   -2    1    2    2   -0.000216   -0.000000
    4   -2    2    1    1   -0.000103   -0.000000
    4   -2    2    2    1    0.000064   -0.000000
    4   -2    2    1    2    0.000064   -0.000000
    4   -2    2    2    2   -0.000253    0.000000
    4   -2    3    1    1   -0.000003    0.000000
    4   -2    3    2    1   -0.000028    0.000000
    4   -2    3    1    2   -0.000028    0.000000
    4   -2    3    2    2    0.000107   -0.000000
    4   -2    4    1    1    0.000065   -0.000000
    4   -2    4    2    1   -0.000004    0.000000
    4   -2    4    1    2   -0.000004    0.000000
    4   -2    4    2    2   -0.000156   -0.000000
    4   -2    5    1    1    0.000092   -0.000000
    4   -2    5    2    1   -0.000066   -0.000000
    4   -2    5    1    2   -0.000066   -0.000000
    4   -2    5    2    2    0.000134   -0.000000
    4   -1   -5    1    1    0.000077   -0.000000
    4   -1   -5    2    1    0.000010    0.000000
    4   -1   -5    1    2    0.000010    0.000000
    4   -1   -5    2    2    0.000010   -0.000000
    4   -1   -4    1    1    0.000022    0.000000
    4   -1   -4    2    1   -0.000004   -0.000000
    4   -1   -4    1    2   -0.000004   -0.000000
    4   -1   -4    2    2   -0.000070   -0.000000
    4   -1   -3    1    1    0.000037   -0.000000
    4   -1   -3    2    1   -0.000019    0.000000
    4   -1   -3    1    2   -0.000019    0.000000
    4   -1   -3    2    2   -0.000071    0.000000
    4   -1   -2    1    1   -0.000022   -0.000000
    4   -1   -2    2    1    0.000032   -0.000000
    4   -1   -2    1    2    0.000032   -0.000000
    4   -1   -2    2    2   -0.000211   -0.000000
    4   -1   -1    1    1   -0.000216   -0.000000
    4   -1   -1    2    1    0.000294   -0.000000
    4   -1   -1    1    2    0.000294   -0.000000
    4   -1   -1    2    2   -0.000397   -0.000000
    4   -1    0    1    1   -0.000446    0.000000
    4   -1    0    2    1    0.001258   -0.000000
    4   -1    0    1    2    0.001258   -0.000000
    4   -1    0    2    2   -0.001715   -0.000000
    4   -1    1    1    1   -0.000216   -0.000000
    4   -1    1    2    1    0.000294   -0.000000
    4   -1    1    1    2    0.000294   -0.000000
    4   -1    1    2    2   -0.000397   -0.000000
    4   -1    2    1    1   -0.000022    0.000000
    4   -1    2    2    1    0.000032    0.000000
    4   -1    2    1    2    0.000032    0.000000
    4   -1    2    2    2   -0.000211    0.000000
    4   -1    3    1    1    0.000037   -0.000000
    4   -1    3    2    1   -0.000019    0.000000
    4   -1    3    1    2   -0.000019    0.000000
    4   -1    3    2    2   -0.000071    0.000000
    4   -1    4    1    1    0.000022   -0.000000
    4   -1    4    2    1   -0.000004    0.000000
    4   -1    4    1    2   -0.000004    0.000000
    4   -1    4    2    2   -0.000070   -0.000000
    4   -1    5    1    1    0.000077   -0.000000
    4   -1    5    2    1    0.000010    0.000000
    4   -1    5    1    2    0.000010    0.000000
    4   -1    5    2    2    0.000010   -0.000000
    4    0   -5    1    1   -0.000248    0.000000
    4    0   -5    2    1    0.000312   -0.000000
    4    0   -5    1    2    0.000312   -0.000000
    4    0   -5    2    2   -0.000336    0.000000
    4    0   -4    1    1   -0.000142    0.000000
    4    0   -4    2    1    0.000055   -0.000000
    4    0   -4    1    2    0.000055   -0.000000
    4    0   -4    2    2    0.000099   -0.000000
    4    0   -3    1    1   -0.000265   -0.000000
    4    0   -3    2    1    0.000332   -0.000000
    4    0   -3    1    2    0.000332   -0.000000
    4    0   -3    2    2   -0.000533    0.000000
    4    0   -2    1    1    0.000066   -0.000000
    4    0   -2    2    1   -0.000284    0.000000
    4    0   -2    1    2   -0.000284    0.000000
    4    0   -2    2    2    0.000593   -0.000000
    4    0   -1    1    1   -0.001130    0.000000
    4    0   -1    2    1    0.001649    0.000000
    4    0   -1    1    2    0.001649    0.000000
    4    0   -1    2    2   -0.002239    0.000000
    4    0    0    1    1   -0.004540    0.000000
    4    0    0    2    1    0.008003    0.000000
    4    0    0    1    2    0.008003    0.000000
    4    0    0    2    2   -0.012632   -0.000000
    4    0    1    1    1   -0.001130    0.000000
    4    0    1    2    1    0.001649   -0.000000
    4    0    1    1    2    0.001649   -0.000000
    4    0    1    2    2   -0.002239    0.000000
    4    0    2    1    1    0.000066   -0.000000
    4    0    2    2    1   -0.000284   -0.000000
    4    0    2    1    2   -0.000284   -0.000000
    4    0    2    2    2    0.000593    0.000000
    4    0    3    1    1   -0.000265    0.000000
    4    0    3    2    1    0.000332    0.000000
    4    0    3    1    2    0.000332    0.000000
    4    0    3    2    2   -0.000533    0.000000
    4    0    4    1    1   -0.000142    0.000000
    4    0    4    2    1    0.000055   -0.000000
    4    0    4    1    2    0.000055   -0.000000
    4    0    4    2    2    0.000099    0.000000
    4    0    5    1    1   -0.000248    0.000000
    4    0    5    2    1    0.000312   -0.000000
    4    0    5    1    2    0.000312   -0.000000
    4    0    5    2    2   -0.000336    0.000000
    4    1   -5    1    1    0.000077   -0.000000
    4    1   -5    2    1    0.000010    0.000000
    4    1   -5    1    2    0.000010    0.000000
    4    1   -5    2    2    0.000010   -0.000000
    4    1   -4    1    1    0.000022   -0.000000
    4    1   -4    2    1   -0.000004    0.000000
    4    1   -4    1    2   -0.000004    0.000000
    4    1   -4    2    2   -0.000070    0.000000
    4    1   -3    1    1    0.000037   -0.000000
    4    1   -3    2    1   -0.000019   -0.000000
    4    1   -3    1    2   -0.000019   -0.000000
    4    1   -3    2    2   -0.000071   -0.000000
    4    1   -2    1    1   -0.000022    0.000000
    4    1   -2    2    1    0.000032   -0.000000
    4    1   -2    1    2    0.000032   -0.000000
    4    1   -2    2    2   -0.000211   -0.000000
    4    1   -1    1    1   -0.000216   -0.000000
    4    1   -1    2    1    0.000294   -0.000000
    4    1   -1    1    2    0.000294   -0.000000
    4    1   -1    2    2   -0.000397    0.000000
    4    1    0    1    1   -0.000446   -0.000000
    4    1    0    2    1    0.001258   -0.000000
    4    1    0    1    2    0.001258   -0.000000
    4    1    0    2    2   -0.001715    0.000000
    4    1    1    1    1   -0.000216   -0.000000
    4    1    1    2    1    0.000294   -0.000000
    4    1    1    1    2    0.000294   -0.000000
    4    1    1    2    2   -0.000397   -0.000000
    4    1    2    1    1   -0.000022    0.000000
    4    1    2    2    1    0.000032   -0.000000
    4    1    2    1    2    0.000032   -0.000000
    4    1    2    2    2   -0.000211    0.000000
    4    1    3    1    1    0.000037   -0.000000
    4    1    3    2    1   -0.000019    0.000000
    4    1    3    1    2   -0.000019    0.000000
    4    1    3    2    2   -0.000071   -0.000000
    4    1    4    1    1    0.000022   -0.000000
    4    1    4    2    1   -0.000004   -0.000000
    4    1    4    1    2   -0.000004   -0.000000
    4    1    4    2    2   -0.000070   -0.000000
    4    1    5    1    1    0.000077   -0.000000
    4    1    5    2    1    0.000010    0.000000
    4    1    5    1    2    0.000010    0.000000
    4    1    5    2    2    0.000010   -0.000000
    4    2   -5    1    1    0.000092    0.000000
    4    2   -5    2    1   -0.000066   -0.000000
    4    2   -5    1    2   -0.000066   -0.000000
    4    2   -5    2    2    0.000134   -0.000000
    4    2   -4    1    1    0.000065   -0.000000
    4    2   -4    2    1   -0.000004    0.000000
    4    2   -4    1    2   -0.000004    0.000000
    4    2   -4    2    2   -0.000156   -0.000000
    4    2   -3    1    1   -0.000003    0.000000
    4    2   -3    2    1   -0.000028   -0.000000
    4    2   -3    1    2   -0.000028   -0.000000
    4    2   -3    2    2    0.000107   -0.000000
    4    2   -2    1    1   -0.000103    0.000000
    4    2   -2    2    1    0.000064   -0.000000
    4    2   -2    1    2    0.000064   -0.000000
    4    2   -2    2    2   -0.000253   -0.000000
    4    2   -1    1    1   -0.000153   -0.000000
    4    2   -1    2    1    0.000138   -0.000000
    4    2   -1    1    2    0.000138   -0.000000
    4    2   -1    2    2   -0.000216   -0.000000
    4    2    0    1    1    0.000078   -0.000000
    4    2    0    2    1   -0.000119   -0.000000
    4    2    0    1    2   -0.000119   -0.000000
    4    2    0    2    2    0.000669   -0.000000
    4    2    1    1    1   -0.000153    0.000000
    4    2    1    2    1    0.000138   -0.000000
    4    2    1    1    2    0.000138   -0.000000
    4    2    1    2    2   -0.000216   -0.000000
    4    2    2    1    1   -0.000103   -0.000000
    4    2    2    2    1    0.000064   -0.000000
    4    2    2    1    2    0.000064   -0.000000
    4    2    2    2    2   -0.000253    0.000000
    4    2    3    1    1   -0.000003    0.000000
    4    2    3    2    1   -0.000028   -0.000000
    4    2    3    1    2   -0.000028   -0.000000
    4    2    3    2    2    0.000107   -0.000000
    4    2    4    1    1    0.000065   -0.000000
    4    2    4    2    1   -0.000004   -0.000000
    4    2    4    1    2   -0.000004   -0.000000
    4    2    4    2    2   -0.000156    0.000000
    4    2    5    1    1    0.000092   -0.000000
    4    2    5    2    1   -0.000066   -0.000000
    4    2    5    1    2   -0.000066   -0.000000
    4    2    5    2    2    0.000134   -0.000000
    4    3   -5    1    1    0.000056   -0.000000
    4    3   -5    2    1   -0.000021   -0.000000
    4    3   -5    1    2   -0.000021   -0.000000
    4    3   -5    2    2    0.000060    0.000000
    4    3   -4    1    1    0.000051   -0.000000
    4    3   -4    2    1   -0.000007   -0.000000
    4    3   -4    1    2   -0.000007   -0.000000
    4    3   -4    2    2   -0.000065    0.000000
    4    3   -3    1    1    0.000002   -0.000000
    4    3   -3    2    1   -0.000025   -0.000000
    4    3   -3    1    2   -0.000025   -0.000000
    4    3   -3    2    2    0.000073   -0.000000
    4    3   -2    1    1   -0.000058   -0.000000
    4    3   -2    2    1    0.000017   -0.000000
    4    3   -2    1    2    0.000017   -0.000000
    4    3   -2    2    2   -0.000026   -0.000000
    4    3   -1    1    1   -0.000075   -0.000000
    4    3   -1    2    1    0.000033    0.000000
    4    3   -1    1    2    0.000033    0.000000
    4    3   -1    2    2   -0.000094   -0.000000
    4    3    0    1    1   -0.000058    0.000000
    4    3    0    2    1    0.000028    0.000000
    4    3    0    1    2    0.000028    0.000000
    4    3    0    2    2   -0.000065    0.000000
    4    3    1    1    1   -0.000075   -0.000000
    4    3    1    2    1    0.000033    0.000000
    4    3    1    1    2    0.000033    0.000000
    4    3    1    2    2   -0.000094   -0.000000
    4    3    2    1    1   -0.000058   -0.000000
    4    3    2    2    1    0.000017    0.000000
    4    3    2    1    2    0.000017    0.000000
    4    3    2    2    2   -0.000026   -0.000000
    4    3    3    1    1    0.000002   -0.000000
    4    3    3    2    1   -0.000025    0.000000
    4    3    3    1    2   -0.000025    0.000000
    4    3    3    2    2    0.000073   -0.000000
    4    3    4    1    1    0.000051   -0.000000
    4    3    4    2    1   -0.000007    0.000000
    4    3    4    1    2   -0.000007    0.000000
    4    3    4    2    2   -0.000065    0.000000
    4    3    5    1    1    0.000056   -0.000000
    4    3    5    2    1   -0.000021   -0.000000
    4    3    5    1    2   -0.000021   -0.000000
    4    3    5    2    2    0.000060    0.000000
    4    4   -5    1    1    0.000047   -0.000000
    4    4   -5    2    1   -0.000000    0.000000
    4    4   -5    1    2   -0.000000    0.000000
    4    4   -5    2    2   -0.000130    0.000000
    4    4   -4    1    1    0.000051   -0.000000
    4    4   -4    2    1   -0.000000    0.000000
    4    4   -4    1    2   -0.000000    0.000000
    4    4   -4    2    2    0.000106   -0.000000
    4    4   -3    1    1    0.000002    0.000000
    4    4   -3    2    1   -0.000000   -0.000000
    4    4   -3    1    2   -0.000000   -0.000000
    4    4   -3    2    2   -0.000039    0.000000
    4    4   -2    1    1   -0.000049    0.000000
    4    4   -2    2    1    0.000000   -0.000000
    4    4   -2    1    2    0.000000   -0.000000
    4    4   -2    2    2    0.000120   -0.000000
    4    4   -1    1    1   -0.000046    0.000000
    4    4   -1    2    1    0.000000    0.000000
    4    4   -1    1    2    0.000000    0.000000
    4    4   -1    2    2    0.000048    0.000000
    4    4    0    1    1   -0.000087   -0.000000
    4    4    0    2    1    0.000000   -0.000000
    4    4    0    1    2    0.000000   -0.000000
    4    4    0    2    2   -0.000567   -0.000000
    4    4    1    1    1   -0.000046   -0.000000
    4    4    1    2    1    0.000000   -0.000000
    4    4    1    1    2    0.000000   -0.000000
    4    4    1    2    2    0.000048    0.000000
    4    4    2    1    1   -0.000049   -0.000000
    4    4    2    2    1    0.000000   -0.000000
    4    4    2    1    2    0.000000   -0.000000
    4    4    2    2    2    0.000120    0.000000
    4    4    3    1    1    0.000002    0.000000
    4    4    3    2    1    0.000000   -0.000000
    4    4    3    1    2    0.000000   -0.000000
    4    4    3    2    2   -0.000039    0.000000
    4    4    4    1    1    0.000051    0.000000
    4    4    4    2    1    0.000000   -0.000000
    4    4    4    1    2    0.000000   -0.000000
    4    4    4    2    2    0.000106   -0.000000
    4    4    5    1    1    0.000047   -0.000000
    4    4    5    2    1   -0.000000    0.000000
    4    4    5    1    2   -0.000000    0.000000
    4    4    5    2    2   -0.000130    0.000000
